user_id,course_id,rating
1,1,1
1,2,1
1,3,1
1,4,0
1,5,1
1,6,1
1,7,0
1,8,0
1,9,1
1,10,1
1,11,0
1,12,0
1,13,1
1,14,-1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,0
1,20,0
1,21,0
1,22,-1
1,23,-1
1,24,1
1,25,-1
1,26,-1
1,27,1
1,28,-1
1,29,-1
1,30,-1
2,1,1
2,2,-1
2,3,0
2,4,1
2,5,0
2,6,-1
2,7,1
2,8,1
2,9,-1
2,10,0
2,11,0
2,12,1
2,13,1
2,14,-1
2,15,1
2,16,1
2,17,1
2,18,-1
2,19,1
2,20,-1
2,21,0
2,22,-1
2,23,-1
2,24,0
2,25,1
2,26,0
2,27,-1
2,28,1
2,29,-1
2,30,-1
3,1,1
3,2,1
3,3,1
3,4,0
3,5,0
3,6,1
3,7,-1
3,8,-1
3,9,1
3,10,1
3,11,-1
3,12,0
3,13,1
3,14,0
3,15,0
3,16,-1
3,17,-1
3,18,-1
3,19,0
3,20,0
3,21,-1
3,22,0
3,23,-1
3,24,1
3,25,-1
3,26,1
3,27,1
3,28,0
3,29,-1
3,30,-1
4,1,1
4,2,1
4,3,0
4,4,0
4,5,1
4,6,1
4,7,-1
4,8,-1
4,9,1
4,10,1
4,11,1
4,12,1
4,13,0
4,14,0
4,15,-1
4,16,-1
4,17,0
4,18,-1
4,19,0
4,20,0
4,21,1
4,22,0
4,23,-1
4,24,1
4,25,0
4,26,1
4,27,1
4,28,-1
4,29,0
4,30,-1
5,1,1
5,2,1
5,3,0
5,4,1
5,5,0
5,6,0
5,7,1
5,8,-1
5,9,-1
5,10,0
5,11,0
5,12,1
5,13,1
5,14,0
5,15,1
5,16,1
5,17,-1
5,18,-1
5,19,1
5,20,1
5,21,0
5,22,1
5,23,-1
5,24,0
5,25,1
5,26,0
5,27,-1
5,28,1
5,29,1
5,30,-1
6,1,1
6,2,1
6,3,1
6,4,0
6,5,0
6,6,1
6,7,-1
6,8,-1
6,9,1
6,10,-1
6,11,-1
6,12,1
6,13,1
6,14,1
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,1
6,21,-1
6,22,-1
6,23,-1
6,24,1
6,25,0
6,26,0
6,27,-1
6,28,0
6,29,0
6,30,0
7,1,0
7,2,0
7,3,0
7,4,1
7,5,1
7,6,0
7,7,1
7,8,1
7,9,0
7,10,-1
7,11,-1
7,12,1
7,13,1
7,14,1
7,15,-1
7,16,1
7,17,0
7,18,1
7,19,1
7,20,1
7,21,0
7,22,1
7,23,1
7,24,0
7,25,1
7,26,-1
7,27,0
7,28,-1
7,29,-1
7,30,-1
8,1,1
8,2,1
8,3,0
8,4,0
8,5,0
8,6,1
8,7,0
8,8,0
8,9,1
8,10,0
8,11,0
8,12,-1
8,13,-1
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,-1
8,22,-1
8,23,-1
8,24,1
8,25,-1
8,26,0
8,27,1
8,28,0
8,29,0
8,30,0
9,1,0
9,2,0
9,3,0
9,4,1
9,5,1
9,6,0
9,7,1
9,8,-1
9,9,1
9,10,1
9,11,1
9,12,1
9,13,1
9,14,1
9,15,1
9,16,-1
9,17,1
9,18,1
9,19,1
9,20,1
9,21,1
9,22,-1
9,23,-1
9,24,1
9,25,-1
9,26,1
9,27,-1
9,28,0
9,29,0
9,30,0
10,1,1
10,2,1
10,3,1
10,4,-1
10,5,-1
10,6,1
10,7,-1
10,8,-1
10,9,1
10,10,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,-1
